k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,ProbabilityWeight-k1,prefix,ProbabilityWeight,ProbabilityWeight-k2,PointProbability
0.10098,1.0005,6.72179217922,1.95515551555,0.414060999588,1.71,6.48644864486,1.31413141314,0.660480903975,1.75,1.59664477766,2.5784771594,6.12069229002,0.019996,77,0.00039972004,0.01999,0.1
0.10098,1.04048,6.01268126813,1.92057205721,0.369351527766,1.46,6.19575957596,1.35921592159,0.5554632636,1.66,1.46007527079,2.29676443709,5.69590624076,0.019996,78,0.00039972004,0.01999,0.1
0.10098,1.08046,5.83270327033,1.99447944794,0.324142768894,1.34,6.06944694469,1.60750075008,0.532892414393,1.52,1.64698596197,2.51492928778,5.91382779558,0.019996,79,0.00039972004,0.01999,0.1
0.10098,1.12044,5.71517151715,1.89382938294,0.351245245634,1.32,5.92509250925,1.30145014501,0.558410333805,1.56,1.68778392127,2.54647550255,5.78452980919,0.019996,80,0.00039972004,0.01999,0.1
0.10098,1.16042,5.53135313531,2.00092009201,0.325257652964,1.24,5.77375737574,1.32799279928,0.506125363712,1.53,1.79844244392,2.48722643126,5.83874749694,0.019996,81,0.00039972004,0.01999,0.1
0.10098,1.2004,5.30383038304,1.92729272927,0.29876261004,1.18,5.45420542054,1.33483348335,0.472993137731,1.39,1.75582511842,2.41432902713,5.62687183069,0.019996,82,0.00039972004,0.01999,0.1
0.10098,1.24038,5.40936093609,2.12647264726,0.278952967385,1.14,5.58505850585,1.2902890289,0.533725889609,1.48,1.94493220436,2.58781559986,5.94622638725,0.019996,83,0.00039972004,0.01999,0.1
0.10098,1.28036,5.19143914391,2.16529652965,0.265290102424,1.07,5.20768076808,1.39937993799,0.484382146353,1.3,2.02798682557,2.59579787071,5.92534183876,0.019996,84,0.00039972004,0.01999,0.1
0.10098,1.32034,5.14199419942,1.98817881788,0.283468230793,1.1,5.05870587059,1.34071407141,0.492939517362,1.26,2.05978180169,2.65409785543,5.85060296291,0.019996,85,0.00039972004,0.01999,0.1
0.10098,1.36032,5.09892989299,2.08898889889,0.279631546816,1.06,5.04174417442,1.20726072607,0.516504939234,1.27,2.20779308664,2.73516341571,5.98645900742,0.019996,86,0.00039972004,0.01999,0.1
0.10098,1.4003,4.70455045505,2.22222222222,0.204117382894,0.9,4.54307430743,1.42338233823,0.411997864208,1.03,2.06313528894,2.5021045011,5.68056256194,0.019996,87,0.00039972004,0.01999,0.1
0.10098,1.44028,4.60356035604,2.27512751275,0.212114176341,0.85,4.40770077008,1.32871287129,0.406113353621,0.96,2.27168552185,2.60806763334,5.82981229014,0.019996,88,0.00039972004,0.01999,0.1
0.10098,1.48026,4.49912991299,2.31737173717,0.185966935749,0.79,4.23476347635,1.3299929993,0.430416228686,0.88,2.32774257532,2.70169937867,5.84303676612,0.019996,89,0.00039972004,0.01999,0.1
0.10098,1.52024,4.29504950495,2.49448944894,0.164201202658,0.68,4.17627762776,1.37405740574,0.404306119153,0.83,2.30610229953,2.63678227724,5.81184224864,0.019996,90,0.00039972004,0.01999,0.1
0.10098,1.56022,4.07644764476,2.400360036,0.183167120987,0.61,4.1399539954,1.40132013201,0.403364575154,0.81,2.35388051168,2.61761743191,5.78201299885,0.019996,91,0.00039972004,0.01999,0.1
0.10098,1.6002,3.89250925093,2.40092009201,0.183416782935,0.5,4.22534253425,1.34653465347,0.394086346699,0.83,2.45767695468,2.67069053267,5.84415142153,0.019996,92,0.00039972004,0.01999,0.1
0.10098,1.64018,3.67374737474,2.77163716372,0.129452980026,0.3,4.16151615162,1.30545054505,0.406199914858,0.8,2.38524860581,2.7108081307,5.80093996875,0.019996,93,0.00039972004,0.01999,0.1
0.10098,1.68016,3.78135813581,2.70629062906,0.136261330731,0.37,4.08438843884,1.29772977298,0.349967912658,0.79,2.53916092351,2.62180369063,5.91995215493,0.019996,94,0.00039972004,0.01999,0.1
0.10098,1.72014,3.82664266427,2.99705970597,0.0967865827267,0.27,4.16259625963,1.3104310431,0.389019698513,0.77,2.68234348346,2.81397304606,6.19887039284,0.019996,95,0.00039972004,0.01999,0.1
0.10098,1.76012,3.7096709671,2.74221422142,0.133926372155,0.29,4.02448244824,1.39491949195,0.360997853477,0.7,2.59719989072,2.75278868341,5.99823891582,0.019996,96,0.00039972004,0.01999,0.1
0.10098,1.8001,3.86308630863,2.6495449545,0.149256963136,0.34,4.15069506951,1.54645464546,0.335293124695,0.71,2.73620980401,2.81528304514,6.2210676702,0.019996,97,0.00039972004,0.01999,0.1
0.10098,1.84008,3.93947394739,3.02776277628,0.102078238495,0.29,4.10477047705,1.59639963996,0.309935287162,0.68,2.89854041955,2.81223152787,6.50761869533,0.019996,98,0.00039972004,0.01999,0.1
0.10098,1.88006,3.99563956396,2.95199519952,0.123009202405,0.32,4.15677567757,1.39499949995,0.335126681043,0.72,3.13415010183,2.94444766276,6.70261012043,0.019996,99,0.00039972004,0.01999,0.1
0.10098,1.92004,4.01056105611,3.15531553155,0.077579884459,0.23,4.13683368337,1.57807780778,0.315612806351,0.66,2.8123890161,2.90253332273,6.47667878721,0.019996,100,0.00039972004,0.01999,0.1
0.10098,1.96002,4.15867586759,3.07520752075,0.138072127921,0.3,4.21922192219,1.36515651565,0.320083348004,0.74,3.02732984803,2.85182678172,6.6627522986,0.019996,101,0.00039972004,0.01999,0.1
0.10098,2.0,4.04452445245,3.46936693669,0.0717082969795,0.16,4.11693169317,1.65520552055,0.285037105669,0.6,2.93403517191,2.93591302467,6.71575641171,0.019996,102,0.00019986002,0.009995,0.1
0.20096,0.001,19.99939994,1.38101810181,1.8919873969,6.96,19.996459646,1.42928292829,2.07347332735,6.96,0.380497908209,4.82607326941,11.8611785742,0.019996,103,0.00020985802,0.010495,0.1
0.20096,0.04098,19.9912391239,1.5101510151,1.64007249852,6.91,19.997819782,1.52867286729,1.80310994322,6.98,0.348794482105,3.7389766387,11.6627023702,0.019996,104,0.00039972004,0.01999,0.1
0.20096,0.08096,19.996379638,1.5803580358,1.63724683901,6.94,19.996039604,1.37535753575,1.8009868188,6.96,0.381683399796,3.48210932859,11.6424058886,0.019996,105,0.00039972004,0.01999,0.1
0.20096,0.12094,19.996139614,1.56407640764,1.69666683507,6.97,19.997319732,1.33427342734,1.86625813183,6.96,0.447826318621,3.50097468825,11.7250019716,0.019996,106,0.00039972004,0.01999,0.1
0.20096,0.16092,19.9761576158,1.57553755376,1.52811887888,6.9,19.9837183718,1.29644964496,1.71557971804,6.96,0.471435945369,3.18455076464,11.616273781,0.019996,107,0.00039972004,0.01999,0.1
0.20096,0.2009,19.5583958396,1.4200420042,1.3309441626,6.74,19.6497849785,1.39177917792,1.46726897097,6.78,0.459705966382,2.7612413402,11.2542932748,0.019996,108,0.00039972004,0.01999,0.1
0.20096,0.24088,19.4090809081,1.51813181318,1.21596604112,6.61,19.5621962196,1.52679267927,1.38171112585,6.72,0.503416759143,2.63547750961,11.2509986736,0.019996,109,0.00039972004,0.01999,0.1
0.20096,0.28086,19.5677567757,1.49060906091,1.32068405374,6.61,19.7263126313,1.27642764276,1.49886808278,6.83,0.631000728549,2.94359323826,11.4452536896,0.019996,110,0.00039972004,0.01999,0.1
0.20096,0.32084,18.7853985399,1.50889088909,1.16514836234,6.26,19.0932293229,1.30753075308,1.32828563913,6.54,0.634703056051,2.68961646364,11.026171374,0.019996,111,0.00039972004,0.01999,0.1
0.20096,0.36082,18.2586858686,1.50561056106,1.15811872849,6.06,18.5657165717,1.34293429343,1.30722441371,6.31,0.711263953467,2.75796628563,10.8693302687,0.019996,112,0.00039972004,0.01999,0.1
