k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,ProbabilityWeight-k1,ProbabilityWeight,ProbabilityWeight-k2,PointProbability,prefix
2.25055,1.8001,3.23181590795,1.20540270135,0.247095169061,1.29,3.88494247124,0.889344672336,0.779681230634,1.82,3.48973973862,2.96885015301,9.07611556118,0.04999,0.00249825025,0.049975,0.1,208
2.25055,1.90005,3.0244122061,1.25372686343,0.23544663079,1.12,3.65862931466,0.967783891946,0.706706827801,1.6,3.59357837387,3.04840885475,9.16386825178,0.04999,0.00249825025,0.049975,0.1,209
2.25055,2.0,2.98269134567,1.26653326663,0.220511716026,1.05,3.58059029515,0.91735867934,0.719331516158,1.51,3.96446142025,3.17360572483,9.61057134021,0.04999,0.001249125125,0.0249875,0.1,210
2.5005,0.001,19.9995997999,0.922461230615,1.38065093315,11.91,19.9996998499,0.988194097049,2.58303614113,11.93,3.45371331365,43.7485682209,58.6637944962,0.04999,0.001274120125,0.0254875,0.1,211
2.5005,0.10095,19.7697848924,0.787693846923,1.24058497723,11.77,19.9896948474,1.19049524762,2.30760631286,11.85,3.2450003023,26.993588864,41.5538523785,0.04999,0.00249825025,0.049975,0.1,212
2.5005,0.2009,19.7594797399,0.985092546273,1.16874023356,11.7,19.9507753877,0.989294647324,2.20755694779,11.85,3.26111890851,19.1037932584,33.6207050138,0.04999,0.00249825025,0.049975,0.1,213
2.5005,0.30085,18.9589794897,0.871035517759,1.13019220917,11.19,19.6336168084,0.901850925463,2.14853019334,11.54,3.38595725171,14.7504160427,29.0139968409,0.04999,0.00249825025,0.049975,0.1,214
2.5005,0.4008,15.3763881941,1.03551775888,0.989906176996,8.97,18.0772386193,1.04632316158,1.86250755989,10.53,3.12735649802,10.8676505495,23.5927828179,0.04999,0.00249825025,0.049975,0.1,215
2.5005,0.50075,12.2362181091,1.01350675338,0.884613025302,7.02,14.7504752376,1.13456728364,1.73257005439,8.59,3.0830446871,8.79337622016,19.8448492563,0.04999,0.00249825025,0.049975,0.1,216
2.5005,0.6007,9.99369684842,1.06633316658,0.791650989725,5.69,11.9926963482,0.99979989995,1.59199270946,6.93,2.99173661146,7.20680303248,16.851209461,0.04999,0.00249825025,0.049975,0.1,217
2.5005,0.70065,8.50525262631,0.972586293147,0.774851213303,4.82,10.3019509755,0.944172086043,1.4688854715,5.84,3.03184153667,6.40594181498,15.2190777029,0.04999,0.00249825025,0.049975,0.1,218
2.5005,0.8006,7.79509754877,0.951275637819,0.746504115827,4.33,9.179989995,0.771685842921,1.56747710306,5.22,3.44013290533,6.28204166413,15.0046232611,0.04999,0.00249825025,0.049975,0.1,219
2.5005,0.90055,6.41770885443,1.05452726363,0.606612741439,3.49,7.95977988994,0.874337168584,1.17239821927,4.43,2.80289176235,4.78484183549,12.1601696669,0.04999,0.00249825025,0.049975,0.1,220
